Patient,File,Variance_Reduction_Percent,Raw_Variance,Clean_Variance
chb05,chb05_38.edf,8.518915920070603,6.906057654209581e-09,6.317736409255867e-09
chb05,chb05_39.edf,7.951497712488031,1.3840101081304528e-08,1.2739605760418568e-08
chb06,chb06_01.edf,73.08433531215948,3.3074637054969696e-09,8.902258406435896e-10
chb06,chb06_02.edf,13.290337388335715,3.8022729550041954e-09,3.2969380508586956e-09
chb06,chb06_03.edf,71.66457254931372,1.3253053796444057e-09,3.7553094434918294e-10
chb06,chb06_04.edf,83.39781204932153,3.0360724946293464e-08,5.040544618772165e-09
chb06,chb06_05.edf,79.60422087682473,2.2423859588738642e-08,4.5735208726100924e-09
chb06,chb06_06.edf,85.48398966468416,3.218125382077084e-09,4.67143413065732e-10
chb06,chb06_07.edf,84.24387637034512,3.5260024347505184e-09,5.555613028039329e-10
chb06,chb06_08.edf,88.14284408212569,3.058659267995721e-09,3.626699984027655e-10
chb06,chb06_09.edf,89.09617510241814,2.638900403396205e-09,2.8774107920790336e-10
chb06,chb06_10.edf,53.32623583010858,1.1437739819040314e-08,5.3384237095046425e-09
chb06,chb06_12.edf,79.08044180000512,3.8056941398099864e-09,7.961344004913445e-10
chb06,chb06_13.edf,80.96650769338095,4.2360073664799935e-09,8.062601362067865e-10
chb06,chb06_14.edf,88.7828436020938,3.6019641329399097e-09,4.0403795018835523e-10
chb06,chb06_15.edf,74.48930852444352,1.2582915356870878e-09,3.209988715321748e-10
chb06,chb06_16.edf,83.62847130959132,1.6082967321506206e-09,2.633027609309441e-10
chb06,chb06_17.edf,81.41362136149503,2.7481343405285155e-09,5.107786540254115e-10
chb06,chb06_18.edf,25.004912909844702,4.2954604564944e-09,3.221384310271158e-09
chb06,chb06_24.edf,96.41603096033194,4.93280558792886e-09,1.767902250583868e-10
chb07,chb07_01.edf,95.1684552455806,7.2099671631450505e-09,3.4835279026629566e-10
chb07,chb07_02.edf,76.06939795343501,3.2421650292194883e-09,7.758696108354131e-10
chb07,chb07_03.edf,14.201471726923486,1.5701600262166397e-09,1.3471741940260291e-09
chb07,chb07_04.edf,18.17922376193586,5.812925817293389e-09,4.756181025852285e-09
chb07,chb07_05.edf,39.8791097335109,3.275211635160615e-08,1.9690863931701967e-08
chb07,chb07_06.edf,74.74743628313578,7.264910374219941e-09,1.8345761212229698e-09
chb07,chb07_07.edf,79.41972077635207,2.6755860496492947e-09,5.506430798867963e-10
chb07,chb07_08.edf,84.96614133823395,5.5497015145949625e-09,8.343342818540969e-10
chb07,chb07_09.edf,96.94313655577463,5.464784735568615e-09,1.670510068872055e-10
chb07,chb07_10.edf,12.910843992078592,2.134229722862302e-09,1.8586826529109791e-09
chb07,chb07_11.edf,15.62125718484978,8.309080844920801e-10,7.011097956438634e-10
chb07,chb07_12.edf,90.94132569238926,9.879630023308331e-09,8.949635066084282e-10
chb07,chb07_13.edf,91.74244430499199,9.272175269321062e-09,7.656550370029462e-10
chb07,chb07_14.edf,18.01862001264849,2.9411174797500003e-08,2.4111686969482638e-08
chb07,chb07_15.edf,78.53884328779755,6.1915751722555396e-09,1.3287836506715802e-09
chb07,chb07_16.edf,82.03711915393225,4.2934775227283275e-09,7.712322515603911e-10
chb07,chb07_17.edf,15.406687747042202,1.8579715238657619e-09,1.5717196527548023e-09
chb07,chb07_18.edf,19.520340473400122,1.4926564754596601e-09,1.2012848493516803e-09
chb07,chb07_19.edf,82.18761298805623,8.649287284374923e-09,1.5406445248677017e-09
chb08,chb08_02.edf,93.4095844628247,8.591895819632765e-09,5.662416370349936e-10
chb08,chb08_03.edf,17.58635509813088,1.8928092617188774e-09,1.559933103622686e-09
chb08,chb08_04.edf,24.69058123531067,1.559614042272102e-09,1.1745362702075962e-09
chb08,chb08_05.edf,55.46635665554602,1.6782727787927062e-08,7.473960136546008e-09
chb08,chb08_10.edf,90.07110015192772,8.824350683312592e-09,8.761609415887895e-10
chb08,chb08_11.edf,85.38155058171041,1.2624399747720272e-08,1.8454914914831655e-09
chb08,chb08_12.edf,89.47103755148362,7.296940264991133e-09,7.682921003915885e-10
chb08,chb08_13.edf,86.98432126155535,9.736389927070982e-09,1.2672572336298434e-09
chb08,chb08_14.edf,17.72111512786352,4.9642091782305364e-09,4.084495954568335e-09
chb08,chb08_15.edf,9.171292099913664,3.154705029798813e-09,2.8653778166252955e-09
chb08,chb08_16.edf,71.31432404849123,2.3479768845149484e-09,6.735330405082894e-10
chb08,chb08_17.edf,9.836802344789264,2.2679051218619236e-09,2.044815777657014e-09
chb08,chb08_18.edf,16.036084694262687,1.7306043720779197e-09,1.4530831892488915e-09
chb08,chb08_19.edf,73.18490838109868,1.2962466605074955e-09,3.475897296220337e-10
chb08,chb08_20.edf,77.37226227060742,7.899314760525043e-09,1.7874362264308029e-09
chb08,chb08_21.edf,81.8049590283208,1.1108403193131705e-08,2.0211785122896355e-09
chb08,chb08_22.edf,58.518044990154294,2.8543420612176954e-09,1.1840368896614269e-09
chb08,chb08_23.edf,16.28402312883256,2.5307237624796153e-09,2.1186201196705732e-09
chb08,chb08_24.edf,80.76832680549629,1.0975309731142412e-08,2.110735699577873e-09
chb08,chb08_29.edf,75.61865238103525,1.1765461685579777e-08,2.8685781125373154e-09
chb09,chb09_01.edf,72.1712844387855,1.8065405392609298e-09,5.027370281689545e-10
chb09,chb09_02.edf,76.38234824711485,2.4306924226827453e-09,5.74072471572978e-10
chb09,chb09_03.edf,69.49854702327927,1.8149613375988827e-09,5.535895789333848e-10
chb09,chb09_04.edf,5.487415904385385,1.0118689589862724e-09,9.563435007993209e-10
chb09,chb09_05.edf,52.05697312208575,3.506216399798325e-08,1.6809862709531484e-08
chb09,chb09_06.edf,72.97722515821494,1.54367421314348e-08,4.171436069084599e-09
chb09,chb09_07.edf,76.16949990146773,2.4749460337092763e-09,5.897920170017097e-10
chb09,chb09_08.edf,77.85120208553057,4.452055709007744e-09,9.860768220277242e-10
chb09,chb09_09.edf,81.94141311302357,1.8986776675482405e-09,3.4287435629781633e-10
